people_percent,play_time,rank,scenery_name,score
3%,2小时 - 4小时,16,观音桥步行街,4.5
31%,0.3小时 - 0.5小时,1,长江索道,4.2
60%,1小时 - 3小时,1,洪崖洞民俗风貌区,4.6
0%,3天 - 6天,2,金佛山,4.4
0%,12小时 - 3天,,李子坝轻轨站,4.5
0%,1小时 - 2小时,132,长嘉汇弹子石老街,4.6
0%,3天 - 6天,5,武隆喀斯特旅游区,4.6
0%,2小时 - 3小时,,放牛村,0
58%,2小时 - 5小时,4,解放碑步行街,4.6
55%,3小时 - 4小时,3,磁器口古镇,4.4
0%,,121,黄桷坪,4.3
5%,4小时 - 5小时,11,大足石刻,4.6
0%,12小时 - 3天,,苓茏苑,0
0%,3小时 - 5小时,44,重庆动物园,4.7
0%,2小时 - 3小时,857,海石公园,3.6
0%,1小时 - 2小时,,重庆云端之眼观景台,4.3
0%,2小时 - 3小时,,重庆十八梯传统风貌区,4.3
5%,2小时 - 3小时,30,鹅岭公园,4.6
5%,12小时 - 3天,2,仙女山国家森林公园,4.5
20%,1小时 - 2小时,8,南山一棵树观景台,4.4
12%,2小时 - 3小时,6,武隆天生三桥,4.7
0%,1小时 - 3小时,68,二厂文创公园,4.3
2%,2小时 - 3小时,39,歌乐山国家森林公园,4.5
0%,3小时 - 4小时,196,鸿恩寺森林公园,4.5
0%,0.5小时 - 1小时,,千厮门大桥,4.7
0%,2小时 - 3小时,,罗中立美术馆,4.9
0%,2小时 - 3小时,,黄桷垭老街,4.0
0%,1小时 - 2小时,,重庆光环购物公园室内植物园“沐光森林”,3.9
0%,2小时 - 3小时,24,乌江画廊,4.5
42%,0.3小时 - 0.5小时,9,朝天门广场,4.5
0%,,,金刚碑·古树下的江村,0
2%,2小时 - 3小时,2,白帝城.瞿塘峡景区,4.5
1%,4小时 - 5小时,2,巫山小三峡,4.4
1%,3天,14,长江三峡,4.8
0%,1小时 - 3小时,637,壹华里夜景公园,4.1
21%,1小时 - 2小时,15,白公馆,4.5
0%,12小时 - 3天,,白马山天尺情缘景区,3.7
0%,3天 - 6天,70,四面山,4.5
12%,1小时 - 2小时,32,湖广会馆,4.5
2%,2小时 - 3小时,2,丰都鬼城名山景区,4.3
0%,2小时 - 3小时,1,万州大瀑布,4.8
1%,1.5小时,7,芙蓉江,4.6
2%,1小时 - 2小时,22,四川美术学院(黄桷坪校区),4.6
4%,5小时 - 6小时,6,小寨天坑风景区,4.4
0%,1.5小时 - 3小时,1,长寿湖,4.3
0%,1小时 - 2小时,138,李子坝公园,4.5
0%,2小时 - 3小时,87,万盛石林,4.6
0%,3天 - 6天,47,南天湖景区,4.0
0%,2小时 - 3小时,37,重庆当代美术馆,4.6
0%,12小时 - 3天,45,重庆园博园,4.7
0%,2小时 - 3小时,,十八梯,4.2
0%,2小时 - 3小时,,中复·北仓文创园,4.6
0%,1小时 - 2小时,,探索舱·云端乐园,4.8
0%,12小时 - 3天,,仙女山归原小镇,0
0%,2小时 - 3小时,,三板溪公园,0
0%,,,五宝小镇滨江乡村公园,0
0%,,,金山湖,0
0%,,6,天井峡地缝,4.3
0%,1小时 - 2小时,,816工程景区,4.7
0%,2小时 - 3小时,,板辽湖金沙滩,2.5
0%,1小时 - 2小时,67,重庆WFC会仙楼观景台,4.6
0%,0.5小时 - 1小时,363,蚩尤九黎城,4.0
0%,3小时 - 4小时,606,万灵古镇,4.6
0%,2小时 - 3小时,4,黄瓜山,4.4
0%,3小时 - 5小时,50,南山风景区,4.6
0%,1小时 - 2小时,36,乌江画廊（武隆段）,4.7
0%,,136,联合国际大厦,5.0
0%,2小时 - 3小时,110,重庆自然博物馆（新馆）,4.8
0%,4小时 - 5小时,786,蝴蝶谷,--
0%,3小时 - 4小时,360,铁山坪森林公园,4.6
0%,3小时 - 4小时,147,神龙峡风景区,4.4
3%,2小时,40,天主教若瑟堂,4.5
15%,2小时 - 3小时,18,三峡博物馆,4.6
0%,1小时 - 2小时,1,涞滩古镇,4.4
0%,1小时,149,华岩寺,4.5
0%,12小时 - 3天,1,云阳龙缸国家地质公园,4.7
0%,1小时 - 2小时,180,白鹤梁水下博物馆,4.6
21%,1小时 - 2小时,10,渣滓洞,4.5
4%,1小时 - 2小时,23,人民大礼堂,4.5
0%,2小时 - 3小时,2,钓鱼城,4.5
0%,1小时,248,黄水国家森林公园,4.3
4%,2小时 - 3小时,15,芙蓉洞,4.6
0%,2小时 - 3小时,14,重庆国泰艺术中心,4.6
4%,3小时 - 5小时,85,南山植物园,4.4
7%,2小时,250,歌乐山烈士陵园,4.6
9%,1小时 - 2小时,28,罗汉寺,4.4
0%,2小时 - 3小时,394,西沱古镇,3.8
11%,1小时 - 2小时,17,洋人街,4.1
0%,4小时 - 6小时,20,黑山谷风景区,4.5
0%,3天,1,阿依河景区,3.9
6%,2小时 - 3小时,14,龙水峡地缝,4.6
4%,1小时 - 2小时,88,红岩革命纪念馆,4.7
7%,1小时 - 3小时,7,山城步道,4.5
3%,2小时 - 3小时,76,重庆大学,4.7
7%,2小时 - 3小时,54,南滨路,4.5
1%,5小时 - 6小时,123,巫峡,4.7
1%,2小时 - 3小时,1,瞿塘峡,4.6
2%,1小时 - 2小时,84,三峡广场,4.5
2%,1小时 - 2小时,51,宋庆龄旧居,4.5
3%,2天 - 3天,1,武隆,4.5
4%,1小时 - 2小时,12,涂鸦一条街,4.5
1%,1小时 - 2小时,60,周公馆,4.4
0%,,395,涂山,4.4
3%,0.2小时 - 1小时,4,皇冠大扶梯,4.2
1%,1小时,229,新华日报营业部旧址,4.6
0%,3天,79,缙云山,4.4
1%,,167,梅园,4.5
1%,1小时 - 2小时,46,红岩魂广场,4.5
0%,3小时,298,重庆抗战遗址博物馆,4.7
0%,,301,下牢溪,3.3
4%,1小时 - 2小时,1,重庆好吃街,4.7
0%,1小时,170,老君洞,4.7
0%,1小时,2,张飞庙,4.6
3%,0.5小时,43,朝天门码头,4.2
0%,1小时,129,珊瑚公园,4.4
0%,4小时 - 5小时,203,东溪古镇,4.6
0%,,295,巴文化雕塑区,0
0%,2小时 - 4小时,65,中山古镇,4.5
0%,12小时 - 3天,49,龙兴古镇,4.2
0%,1小时 - 2小时,186,西南政法大学,4.7
0%,0.2小时 - 0.3小时,124,缙云山生态旅游观光索道,4.5
0%,1小时 - 2小时,127,泰昌古镇,3.9
0%,2小时 - 3小时,151,碧津公园,4.6
0%,1小时 - 2小时,80,桂园,4.4
0%,2小时 - 3小时,199,石宝寨,4.4
0%,1小时 - 2小时,397,西南大学,4.8
0%,1小时,101,枇杷山公园,4.5
0%,1小时 - 2小时,226,大韩民国临时政府旧址陈列馆,4.6
0%,,294,乌江长廊,4.0
0%,3小时 - 4小时,396,四川外国语大学,4.6
0%,2小时,222,法国水师兵营旧址,4.1
0%,3小时 - 4小时,31,重庆野生动物世界,4.5
0%,1小时 - 2小时,129,花卉园,4.4
0%,2小时 - 3小时,128,大木花谷,4.0
0%,,35,风逸3D魔幻艺术馆,4.0
0%,3小时 - 4小时,20,南温泉公园,3.9
0%,1小时 - 2小时,175,神女溪,4.3
0%,1小时,54,花样龙水湖,4.1
0%,1小时 - 1.5小时,48,张关水溶洞旅游风景区,4.3
0%,1小时 - 2小时,1,（重庆黄水旅游度假区）毕兹卡绿宫,4.5
0%,,402,石门山石刻,0
0%,2小时 - 3小时,400,洪安古镇,4.4
0%,1小时 - 2小时,399,清溪沟,4.5
0%,1小时 - 2小时,398,小溪风景区,3.9
0%,1小时 - 3小时,2,长寿古镇,4.1
0%,0.5小时 - 1小时,2,南山石刻,0
0%,3小时 - 5小时,403,金刀峡,4.2
0%,1小时,181,偏岩古镇,4.1
0%,3小时 - 4小时,59,茶山竹海,4.1
0%,1小时,86,武陵仙山,4.8
0%,2小时 - 3小时,404,佛图关公园,4.5
0%,1小时 - 2小时,269,黄山蒋介石官邸,4.7
0%,,141,临江公园,0
0%,2小时 - 4小时,152,小南海,4.2
0%,0.5小时,90,戴笠公馆旧址,4.1
0%,2小时 - 3小时,406,圣灯山森林公园,4.6
0%,0.5小时,99,东水门大桥,4.4
0%,2小时 - 3小时,97,龙泉洞,3.0
0%,2小时 - 3小时,405,胜天湖,4.2
0%,1小时,157,嘉陵江,4.6
0%,12小时 - 3天,408,重庆千野草场景区,4.1
0%,12小时 - 3天,1,武陵山国家森林公园,4.4
0%,2小时,407,大磨滩瀑布,3.7
2%,1小时,29,中山四路,4.5
0%,,411,大风堡原始森林,5.0
0%,0.3小时,3,龙脊石,5.0
0%,0.3小时 - 0.5小时,204,朝天门大桥,4.4
0%,,410,大田湾体育馆,0
0%,,409,妙高山,5.0
0%,1小时 - 2小时,197,宝轮寺,4.6
0%,1小时 - 2小时,412,弥陀禅院,4.9
0%,1小时 - 2小时,112,慈云寺,4.3
0%,2小时 - 3小时,1,观音塘湿地公园,4.6
0%,3小时 - 4小时,267,武陵山大裂谷,4.5
0%,,414,石篆山石窟,0.0
0%,0.2小时 - 0.3小时,302,菜园坝长江大桥,4.7
0%,,78,路孔古镇,4.8
0%,,179,大佛寺,0
0%,1小时,413,姜家溶洞风景区,3.2
0%,2小时 - 3小时,10,南坪步行街,4.6
0%,,415,桃花村,5.0
0%,2小时 - 3小时,420,重庆图书馆,4.6
0%,2小时 - 3小时,419,巫山县博物馆,4.1
0%,1小时 - 2小时,418,张自忠将军墓,3.8
0%,,174,白马洞,0
0%,2小时,27,巴渝民俗文化村,0
0%,1小时 - 2小时,26,两江国际影视城（民国街）,4.3
0%,0.5小时,417,南开中学,4.3
0%,0.5小时,166,中国民主建国会成立纪念碑,0
0%,1小时,416,潼南杨闇公旧居,4.6
0%,4小时 - 5小时,1,神女峰,4.7
0%,,421,皇华城遗址,0
0%,,282,白云湖,0
0%,,426,名山索桥,0
0%,3小时,425,重庆涪陵御泉河,4.2
0%,1小时,64,丰盛古镇,4.4
0%,1小时 - 2小时,1,聂荣臻元帅陈列馆,4.7
0%,2小时,424,骆来山风景名胜区,0
0%,1小时 - 2小时,423,邱少云纪念馆,4.7
0%,1小时,171,樵坪山,4.8
0%,1小时,185,双桂堂,4.3
0%,2小时,429,响马河漂流,5.0
0%,,428,龙门峡,5.0
0%,3小时 - 4小时,300,红池坝高山草场,4.4
0%,,95,仙女洞,0
0%,,432,老龙洞,0
0%,3小时,144,黄瓜山百里果乡,5.0
0%,12小时 - 3天,261,重庆巫山十二峰,4.8
0%,1小时,431,铁峰山国家森林公园,0.0
0%,3小时,430,永川卫星湖,4.5
0%,2小时 - 3小时,279,松溉古镇,4.5
0%,12小时,436,红岩村,4.6
0%,1小时 - 2小时,218,二佛寺,4.5
0%,3小时 - 5小时,2,﻿荆竹峡汉风神谷景区,3.8
0%,,435,恐龙化石遗址,0
0%,,297,夹滩镇,0
0%,2小时 - 3小时,4,天鹅湖风景区,4.3
0%,1小时,434,夏冰洞,4.0
0%,1小时,227,巴蔓子墓,4.3
0%,,299,长安汽车工业园,0
0%,,438,小田溪巴王墓群,0
0%,1小时,1,涂井汉墓群,5.0
0%,1小时,445,栖霞宫,4.2
0%,,444,无铭阙,0
0%,1小时,443,孔园,4.6
0%,,442,松林坡,0
0%,,441,太保祠,0
0%,12小时 - 3天,440,雨台山风景区,3.9
0%,,439,天子城,0
0%,1小时,1,刘伯承故居,4.6
0%,,448,周易园,0
0%,,447,永安宫,0
0%,1小时 - 2小时,281,黑石山,4.4
0%,1小时,446,阿蓬江,4.6
0%,3小时 - 5小时,16,武隆梦幻谷,4.0
0%,1小时 - 1.5小时,450,秀山花灯广场,5.0
0%,1小时 - 2小时,2,聂荣臻故居,4.6
0%,2小时 - 3小时,2,巴岳山,4.2
0%,,449,三多桥白鹭园,5.0
0%,2小时 - 3小时,1,垫江牡丹生态旅游区,4.0
0%,,,五彩梯田,0
0%,,,禅境艺术小镇,0
0%,,,重庆华岩壁虎王国家攀岩示范公园,0
0%,,,环舟奇迹,0
0%,12小时 - 3天,,SAFARI秘境方舟·沉浸式动物展重庆站,0
0%,,,画游梵高沉浸式艺术馆,0
0%,,,跳墩河公园百塘园,0
0%,,,卧佛寺,0
0%,,,叠水公园,0
0%,,,九龙坡区江岸灯塔,0
0%,,,香水百荷景区,0
0%,,,五洞李花源,0
0%,,,春天岭森林美学集市,0
0%,,,重庆市北碚区澄江镇柏林村柏乡秾林,0
0%,,,洞见山城,0
0%,,,巴滨路新南足球运动公园,0
0%,,,保定门城墙遗址公园,0
0%,,,太平桥,0
0%,,,重庆自然资源科普馆,0
0%,,,嘉悦台,0
0%,,,大观园乡村旅游度假区,0
0%,,,石里红枫乡村旅游度假区,0
0%,,,呼归石花阶公园,0
0%,,,重庆金海湾公园,0
0%,,,重庆樱桃谷景区,0
0%,,,猫山樱博园,0
0%,,,兰英挂壁公路,0
0%,,,Z喜剧爆笑脱口秀-九街店,0
0%,,,重庆自驾游放牛村杜鹃花,0
0%,,,江北嘴江滩公园,0
0%,,,黄金谷,0
0%,,,开州故城滨湖,0
0%,,,白岩尖,0
0%,,,回龙湾美食街,0
0%,,,巫溪令牌石,0
0%,,,8623创业高地,0
0%,,,重庆黄山抗战旧址孔园,0
0%,,,人头村,0
0%,,,龙滩子水库,0
0%,,,青山湖国家湿地公园,0
0%,,,重庆黄山抗战旧址群一一孔园,0
0%,,,三角坝,0
0%,,,玉皇殿,0
0%,,,白帝城风雨廊桥,0
0%,,,丽沙美术馆·画廊超市,0
0%,,,饶国模故居,0
0%,,,煜山森林乐园,0
0%,,,九女山风景区,0
0%,,,虎啸村,0
0%,,,川外小铁路步道,0
0%,,,山城花园,0
0%,,,美石峰乐园,0
0%,,,黎香湖皮划艇公园,0
0%,,,西山钟楼,0
0%,,,龙涎瀑布,0
0%,,,台湾光复纪念碑,0
0%,,,大坪,0
0%,,,大龙洞,0
0%,,,仙桃数据谷玻璃廊桥,0
0%,,,梁平柚海,0
0%,,,大草原鸽场,0
0%,,,荆竹村,0
0%,,,仙女山狩猎场,0
0%,,,龙王村提夔牛,0
0%,,,乐滑之梦冰乐园（金沙天街店）,0
0%,,,瀚恩公园,0
0%,,,红池坝国际滑雪度假村,0
0%,,,悬棺厅,0
0%,,,雪宝山,0
0%,,,白帝城,0
0%,,,红岩公园,0
0%,,,马鞍山堂里,0
0%,,,佛罗伦萨小镇重庆名品奥特莱斯,0
0%,,,2022重庆宫西达也的绘本世界展,0
0%,,,涪陵区北山公园,0
0%,,,百胜村,0
0%,,,乐滑之梦冰乐园（光环购物中心店）,0
0%,,,雅巴洞江滩公园,0
0%,,,洪崖洞78区潮玩世界,0
0%,,,下庄村,0
0%,,,法雨寺,0
0%,,,江北区图书馆鸿恩寺馆,0
0%,,,钓鱼城历史文化博物馆,0
0%,,,洗马池,0
0%,,,天后宫,0
0%,,,七鹿坪,0
0%,,,石钟山,0
0%,,,方坪茶舍,0
0%,,,千年银杏,0
0%,,,中益中华蜜蜂小镇,0
0%,,,开州水云天休闲度假区,0
0%,,,万州区移民广场,0
0%,,,重庆秀山西街民俗文化景区,0
0%,,,康龙溪,0
0%,,,魁星楼非遗传承体验基地,0
0%,,,苟溪桥村,0
0%,,,建文遗迹,0
0%,,,苟溪桥水库,0
0%,,,莱特飞行者体验馆（东原悦荟新新park店）,0
0%,,,登云梯,0
0%,,,李公坝村,0
0%,,,蘑菇乐园,0
0%,,,北碚天坑,0
0%,,,滩口牌坊,0
0%,12小时 - 3天,,康然山庄,0
0%,,,三峡留城·忠州老街,0
0%,,,普照寺水库,0
0%,,,前星村天生桥峡谷,0
0%,,,红军桥,0
0%,,,林家沟,0
0%,,,神奇鱼泉,0
0%,3小时 - 4小时,,长滩河漂流,0
0%,1.5小时 - 5小时,,桃子溪漂流,0
0%,,,铜元之光城市阳台,0
0%,,,凤凰山梯道,0
0%,,,三峡之巅观景平台,0
0%,,,巫山云雨康养旅游度假区,0
0%,,,大观原点,0
0%,,,三洞沟峡谷,0
0%,,,迷宫河景区,0
0%,,,四十二坝水库,0
0%,,,三峡第一村,0
0%,,,三峡天坑乡村公园,0
0%,,,万松里石磨纪,0
0%,,,同盟国驻渝外交机构旧址群-美军招待所旧址,0
0%,,,铁佛寺,0
0%,,,伍家坝千亩荷花,0
0%,,,春风度云之谷大草坪,0
0%,,,大渡口基督教礼拜堂,0
0%,,,大窝景区,0
0%,,,梓桐坝江滩,0
0%,,,竹溪河松石文化园,0
0%,,,爻里小镇,0
0%,,,合作村青年国际社区,0
0%,,,梅花鹿苑,0
0%,,,雍溪古镇,0
0%,,,花漾栖谷,0
0%,,,龚滩古镇乌江画廊,0
0%,,,第八步道,0
0%,,,重庆园博园化石馆,0
0%,,,白美河峡谷,0
0%,,,小顶山,0
0%,,,五马水库,0
0%,,,大渡口美术馆,0
0%,,,红岩重型汽车博物馆,0
0%,,,宠物兔乐园,0
0%,,,洛莎玫瑰园,0
0%,,,华侨城滨江休闲带,0
0%,,,重庆华侨城运动生活公园,0
0%,,,柳本尊行化事迹图,0
0%,,,巴南石龙绣球花海,0
0%,,,轿子山,0
0%,12小时 - 3天,,石柱森林王国度假区,0
0%,,,鱼子岗休闲度假区,0
0%,,,月季香山,0
0%,,,极地冰雪乐园,0
0%,,,堰塘村,0
0%,,,木桃路社区公园,0
0%,,,小指拇山,0
0%,,,中渡口码头,0
0%,,,朗山慢时光田园,0
0%,12小时 - 3天,,北泉村,0
0%,1小时 - 2小时,,小塘村,0
0%,1小时 - 2小时,,玉峰村,0
0%,1小时 - 2小时,,北门村,0
0%,12小时 - 3天,,南门村,0
0%,,,五云公园,0
0%,,,龙王村,0
0%,,,放牛村幸福广场,0
0%,,,花漫时光园艺,0
0%,1.5小时 - 5小时,,亢家寨风景区,0
0%,,,指姆山,0
0%,,,梓桐坝村,0
0%,,,天华百卉园,0
0%,,,松木嘴红枫园,0
0%,,,跳墩河公园山水间,0
0%,,,颐和生态公园,0
0%,,,涪陵两江游,0
0%,,,响水洞瀑布,0
0%,,,合隆天主教堂,0
0%,,,临崖步道,0
0%,,,宝鼎光明寺,0
0%,,,毕桥村,0
0%,,,木凉镇樱花观赏点,0
0%,,,南岸区文化馆,0
0%,,,坪西坝,0
0%,,,李文信美术馆,0
0%,,,周家山大桥-观景台,0
0%,,,沙坪坝区文化馆,0
0%,,,辰心公园,0
0%,,,野兽花园农庄,0
0%,,,牯牛背风景区,0
0%,,,重庆爱情故事馆,0
0%,2小时 - 4小时,,三合湖湿地公园,0
0%,,,蓝城两江田园牧歌,0
0%,,,重庆黄水旅游度假区月亮湖,0
0%,,,建文峰登山游步道,0
0%,1小时 - 2小时,,旱夔门景区,0
0%,,,重庆大轰炸“六五”隧道惨案史实展馆,0
0%,,,安の童话森林,0
0%,,,荆竹坝岩棺葬墓群,0
0%,,,会飞的青蛙启萌体验馆,0
0%,2小时 - 3小时,,樱花橘乡,0
0%,,,南滨游艇广场,0
0%,,,南岸区图书馆(长嘉汇分馆),0
0%,,,赵云山山地越野公园,0
0%,,,云台寺,0
0%,,,嘉滨楼历史文化陈列馆,0
0%,,,地火村,0
0%,,,meland club(重庆万象城店),0
0%,,,琉璃怀旧音乐沙龙,0
0%,,,九龙坡区图书馆,0
0%,,,重庆市渝中区图书馆,0
0%,,,江津爱情文化长廊,0
0%,,,老虎口瀑布,0
0%,,,道明寺,0
0%,,,道角1979文创艺术社区,0
0%,,,竹溪河草地公园,0
0%,,,礼嘉马鞍石江边公园,0
0%,1小时 - 2小时,,白居寺长江大桥,0
0%,1小时 - 2小时,,梦幻七彩游乐园,0
0%,,,牛栏坝沙滩,0
0%,2小时 - 4小时,,金鳌山,0
